code,journal
A067,河南大学学报自然科学版
U004,河南工业大学学报自然科学版
J014,河南科技大学学报自然科学版
A011,河南科学
K526,河南理工大学学报自然科学版
H011,河南农业大学学报
H356,河南农业科学
A058,河南师范大学学报自然科学版
Q004,核动力工程
Q002,核化学与放射化学
Q001,核技术
C092,核聚变与等离子体物理
Q009,核科学与工程
H042,核农学报
A084,黑龙江大学自然科学学报
K505,黑龙江科技大学学报
R535,红外技术
C035,红外与毫米波学报
R084,红外与激光工程
A039,湖北大学学报自然科学版
H203,湖北农业科学
G334,湖北中医药大学学报
E111,湖泊科学
A028,湖南大学学报自然科学版
K016,湖南科技大学学报自然科学版
H060,湖南农业大学学报自然科学版
G548,湖南师范大学学报医学版
A055,湖南师范大学自然科学学报
G041,湖南中医药大学学报
G987,护理学报
G503,护理学杂志
G654,护理研究
H665,花生学报
E141,华北地震科学
R046,华北电力大学学报
H032,华北农学报
X003,华东交通大学学报
T021,华东理工大学学报自然科学版
A054,华东师范大学学报自然科学版
E103,华南地震
G340,华南国防医学杂志
J004,华南理工大学学报自然科学版
H013,华南农业大学学报
A052,华南师范大学学报自然科学版
G525,华南预防医学
A021,华侨大学学报自然科学版
G043,华西口腔医学杂志
G044,华西药学杂志
G294,华西医学
G077,华中科技大学学报医学版
J033,华中科技大学学报自然科学版
H003,华中农业大学学报
A004,华中师范大学学报自然科学版
Z009,化工环保
T006,化工机械
T101,化工进展
T532,化工科技
T146,化工设备与管道
T007,化工学报
T009,化学反应工程与工艺
D604,化学分析计量
T025,化学工程
T567,化学工程师
T076,化学工业与工程
T501,能源化工
D506,化学进展
D011,化学试剂
D018,化学通报
D030,化学学报
D501,化学研究
D037,化学研究与应用
T931,化学与粘合
T553,化学与生物工程
Z017,环境保护科学
Z005,环境工程
Z550,环境工程技术学报
Z021,环境工程学报
D024,环境化学
Z500,环境技术
Z554,环境监测管理与技术
Z506,环境科技
Z004,环境科学
Z003,环境科学学报
Z002,环境科学研究
Z521,环境科学与管理
Z025,环境科学与技术
H049,环境昆虫学报
Z035,环境卫生工程
G971,环境卫生学杂志
Z019,环境污染与防治
Z031,环境与健康杂志
G882,环境与职业医学
G656,环球中医药
M631,黄金
Y040,火箭推进
N005,火力与指挥控制
N007,火炸药学报
X011,机车电传动
N069,机床与液压
N672,机电工程
S004,机器人
N040,机械传动
M004,机械工程材料
N051,机械工程学报
N050,机械科学与技术
N057,机械强度
N047,机械设计
N054,机械设计与研究
N028,机械设计与制造
N063,机械设计与制造工程
N053,机械与电子
N515,机械制造与自动化
G003,基础医学与临床
H245,基因组学与应用生物学
R025,激光技术
F045,激光生物学报
R514,激光与光电子学进展
R521,激光与红外
R028,激光杂志
E116,吉林大学学报地球科学版
J042,吉林大学学报工学版
A035,吉林大学学报理学版
R586,吉林大学学报信息科学版
G014,吉林大学学报医学版
H243,吉林农业大学学报
H227,吉林农业科学
G719,吉林中医药
E007,极地研究
G452,疾病监测
G439,脊柱外科杂志
N014,计量学报
S050,计算机测量与控制
S049,计算机仿真
S013,计算机辅助设计与图形学学报
S012,计算机工程
S034,计算机工程与科学
S022,计算机工程与设计
S025,计算机工程与应用
S030,计算机集成制造系统
S520,计算机技术与发展
S006,计算机科学
S085,计算机科学与探索
S509,计算机系统应用
S018,计算机学报
S021,计算机研究与发展
S029,计算机应用
S016,计算机应用研究
S009,计算机应用与软件
S048,计算机与数字工程
S500,计算机与现代化
S014,计算机与应用化学
S507,计算技术与自动化
C003,计算力学学报
B014,计算数学
C094,计算物理
A656,济南大学学报自然科学版
G292,寄生虫与医学昆虫学报
A045,暨南大学学报自然科学与医学版
H240,家畜生态学报
G638,检验医学
V051,建筑材料学报
V057,建筑钢结构进展
V523,建筑节能
V014,建筑结构
V044,建筑结构学报
V005,建筑科学
V013,建筑科学与工程学报
V047,建筑学报
Y522,舰船电子工程
Y564,舰船科学技术
G453,江苏大学学报医学版
J035,江苏大学学报自然科学版
X015,江苏科技大学学报自然科学版
H700,江苏农业科学
H199,江苏农业学报
G397,江苏中医药
H283,江西农业大学学报
H701,江西农业学报
A112,江西师范大学学报自然科学版
X002,交通科学与工程
X020,交通信息与安全
X672,交通运输工程学报
X685,交通运输系统工程与信息
L587,节能技术
W567,节水灌溉
K553,洁净煤技术
V049,结构工程师
G869,结直肠肛门外科
G316,解放军护理杂志
A121,解放军理工大学学报自然科学版
G295,解放军药学学报
G187,解放军医学院学报
G048,解放军医学杂志
G671,解放军医药杂志
G315,解放军医院管理杂志
G961,解放军预防医学杂志
G507,解剖科学进展
G049,解剖学报
G358,解剖学研究
G050,解剖学杂志
G886,介入放射学杂志
N048,金刚石与磨料磨具工程
M051,金属功能材料
K022,金属矿山
N083,金属热处理
M012,金属学报
E599,经济地理
H333,经济动物学报
S759,经济管理
S762,经济理论与经济管理
H266,经济林研究
S773,经济与管理研究
G953,精神医学杂志
T102,精细化工
T955,精细化工中间体
T542,精细石油化工
G677,颈腰痛杂志
Z553,净水技术
G553,局解手术学杂志
T512,聚氨酯工业
R016,绝缘材料
G052,军事医学
F018,菌物学报
M018,勘察科学技术
Q933,康复学报
A645,科技导报
S812,科技管理研究
R588,科技进步与对策
A083,科技通报
S816,科学管理研究
A537,科学技术与工程
A075,科学通报
W514,科学学研究
S818,科学学与科学技术管理
W531,科研管理
L516,可再生能源
E140,空间科学学报
Y051,空间控制技术与应用
J059,空军工程大学学报自然科学版
Q907,空军医学杂志
Y016,空气动力学学报
S503,控制工程
R060,控制理论与应用
S001,控制与决策
G672,口腔材料器械杂志
G246,口腔颌面外科杂志
G894,口腔颌面修复学杂志
G390,口腔疾病防治
G594,口腔生物医学
G325,口腔医学
G266,口腔医学研究
K525,矿产保护与利用
V054,矿产勘查
K025,矿产与地质
K004,矿产综合利用
E106,矿床地质
K014,矿山机械
E350,矿物学报
E354,矿物岩石
E504,矿物岩石地球化学通报
M101,矿冶
M045,矿冶工程
K554,矿业安全与环保
K010,矿业研究与开发
F015,昆虫学报
J020,昆明理工大学学报自然科学版
G053,昆明医科大学学报
G395,兰州大学学报医学版
A016,兰州大学学报自然科学版
J008,兰州理工大学学报
G628,老年医学与保健
R096,雷达科学与技术
R758,雷达学报
T010,离子交换与吸附
M001,理化检验化学分册
C101,力学季刊
C001,力学学报
C104,力学与实践
G580,立体定向和功能性神经外科杂志
U055,粮食与饲料工业
U626,粮油食品科技
C032,量子电子学报
K008,辽宁工程技术大学学报自然科学版
H261,辽宁农业科学
G850,辽宁中医药大学学报
G646,辽宁中医杂志
U037,林产工业
T017,林产化学与工业
H740,林业工程学报
H280,林业科学
H281,林业科学研究
H102,林业调查规划
T231,磷肥与复肥
G880,临床超声医学杂志
G607,临床儿科杂志
G276,临床耳鼻咽喉头颈外科杂志
G271,临床放射学杂志
Q908,临床肺科杂志
G501,临床肝胆病杂志
G291,临床骨科杂志
G664,临床和实验医学杂志
G345,临床急诊杂志
G204,临床检验杂志
G310,临床精神医学杂志
G881,临床军医杂志
G287,临床口腔医学杂志
G222,临床麻醉学杂志
G317,临床泌尿外科杂志
G257,临床内科杂志
G230,临床皮肤科杂志
G309,临床神经病学杂志
G802,临床神经外科杂志
G423,临床肾脏病杂志
G797,临床输血与检验
G256,临床外科杂志
G942,临床误诊误治
G855,临床消化病杂志
Q909,临床小儿外科杂志
G261,临床心血管病杂志
G293,临床血液学杂志
Q913,临床眼科杂志
G673,临床药物治疗杂志
G350,临床与病理杂志
G274,临床与实验病理学杂志
Q910,临床肿瘤学杂志
G491,岭南心血管病杂志
N023,流体机械
H748,麦类作物学报
T060,煤化工
K558,煤矿安全
K517,煤矿机械
K504,煤矿开采
K038,煤炭工程
K005,煤炭科学技术
K017,煤炭学报
D027,煤炭转化
K009,煤田地质与勘探
R119,密码学报
U036,棉纺织技术
H037,棉花学报
G056,免疫学杂志
B017,模糊系统与数学
N107,模具技术
S015,模式识别与人工智能
T077,膜科学与技术
N084,摩擦学学报
U533,木材工业
M655,纳米技术与精密工程
